ID,Name
188,Abdominal guarding
10,Abdominal pain
223,Abdominal pain associated with menstruation
984,Absence of a pulse
974,Aggressiveness
981,Agitation
996,Ankle deformity
147,Ankle swelling
238,Anxiety
1009,Arm pain
971,Arm swelling
998,Back deformity
104,Back pain
180,Black stools
57,Blackening of vision
24,Blackhead
284,Bleeding from vagina
176,Bleeding in the conjunctiva of the eye
48,Bloated feeling in the stomach
190,Blood in stool
233,Bloody cough
991,Blue colored skin
240,Blue spot on skin
77,Blurred vision
239,Bold area among hair on the head
156,Bone fracture
250,Breathing-related pains
979,Brittleness of nails
192,Bulging abdominal wall
75,Burning eyes
46,Burning in the throat
288,Burning nose
107,Burning sensation when urinating
91,Changes in the nails
170,Cheek swelling
17,Chest pain
31,Chest tightness
175,Chills
218,Coarsening of the skin structure
89,Cold feet
978,Cold hands
139,Cold sweats
15,Cough
228,Cough with sputum
94,Cramps
49,Cravings
134,Crusting
260,Curvature of the spine
108,Dark urine
163,Decreased urine stream
165,Delayed start to urination
50,Diarrhea
79,Difficult defecation
126,Difficulty in finding words
98,Difficulty in speaking
93,Difficulty in swallowing
53,Difficulty to concentrate
1007,Difficulty to learn
1005,Difficulty with gait
216,Discoloration of nails
128,Disorientation regarding time or place
989,Distended abdomen
207,Dizziness
71,Double vision
270,"Double vision, acute-onset"
162,Dribbling after urination
244,Drooping eyelid
43,Drowsiness
273,Dry eyes
272,Dry mouth
151,Dry skin
87,Earache
92,Early satiety
1011,Elbow pain
1006,Enlarged calf
242,Eye blinking
287,Eye pain
33,Eye redness
208,Eyelid swelling
209,Eyelids sticking together
219,Face pain
246,Facial paralysis
970,Facial swelling
153,"Fast, deepened breathing"
83,Fatty defecation
982,Feeling faint
1014,Feeling ill
76,Feeling of foreign body in the eye
86,Feeling of pressure in the ear
164,Feeling of residual urine
145,Feeling of tension in the legs
11,Fever
995,Finger deformity
1013,Finger pain
1012,Finger swelling
214,Flaking skin
245,Flaking skin on the head
154,Flatulence
255,Foot pain
1002,Foot swelling
125,Forgetfulness
62,Formation of blisters on a skin area
84,Foul smelling defecation
59,Frequent urination
110,Genital warts
152,Hair loss
976,Hallucination
72,Halo
186,Hand pain
148,Hand swelling
80,Hard defecation
184,Hardening of the skin
9,Headache
206,Hearing loss
985,Heart murmur
45,Heartburn
122,Hiccups
993,Hip deformity
196,Hip pain
121,Hoarseness
149,Hot flushes
197,Immobilization
120,Impaired balance
90,Impaired hearing
70,Impaired light-dark adaptation
113,Impairment of male potency
81,Incomplete defecation
131,Increased appetite
262,Increased drive
204,Increased salivation
40,Increased thirst
220,Increased touch sensitivity
39,Increased urine quantity
257,Involuntary movements
986,Irregular heartbeat
65,Irregular mole
73,Itching eyes
88,Itching in the ear
973,Itching in the mouth or throat
96,Itching in the nose
21,Itching of skin
999,Itching of the anus
247,Itching on head
268,Itching or burning in the genital area
194,Joint effusion
198,Joint instability
27,Joint pain
