ID,Name
188,Abdominal guarding
10,Abdominal pain
984,Absence of a pulse
974,Aggressiveness
981,Agitation
147,Ankle swelling
238,Anxiety
1009,Arm pain
971,Arm swelling
104,Back pain
180,Black stools
57,Blackening of vision
24,Blackhead
176,Bleeding in the conjunctiva of the eye
48,Bloated feeling in the stomach
190,Blood in stool
233,Bloody cough
991,Blue colored skin
240,Blue spot on skin
239,Bold area among hair on the head
156,Bone fracture
250,Breathing-related pains
979,Brittleness of nails
75,Burning eyes
46,Burning in the throat
288,Burning nose
107,Burning sensation when urinating
91,Changes in the nails
170,Cheek swelling
17,Chest pain
31,Chest tightness
175,Chills
89,Cold feet
978,Cold hands
139,Cold sweats
15,Cough
228,Cough with sputum
94,Cramps
49,Cravings
134,Crusting
260,Curvature of the spine
108,Dark urine
163,Decreased urine stream
50,Diarrhea
79,Difficult defecation
126,Difficulty in finding words
98,Difficulty in speaking
93,Difficulty in swallowing
53,Difficulty to concentrate
1005,Difficulty with gait
216,Discoloration of nails
128,Disorientation regarding time or place
989,Distended abdomen
207,Dizziness
71,Double vision
270,"Double vision, acute-onset"
43,Drowsiness
273,Dry eyes
272,Dry mouth
151,Dry skin
87,Earache
92,Early satiety
1011,Elbow pain
287,Eye pain
33,Eye redness
208,Eyelid swelling
219,Face pain
246,Facial paralysis
970,Facial swelling
153,"Fast, deepened breathing"
83,Fatty defecation
982,Feeling faint
1014,Feeling ill
76,Feeling of foreign body in the eye
86,Feeling of pressure in the ear
11,Fever
245,Flaking skin on the head
154,Flatulence
255,Foot pain
1002,Foot swelling
125,Forgetfulness
62,Formation of blisters on a skin area
84,Foul smelling defecation
152,Hair loss
976,Hallucination
72,Halo
148,Hand swelling
80,Hard defecation
9,Headache
985,Heart murmur
45,Heartburn
122,Hiccups
196,Hip pain
121,Hoarseness
149,Hot flushes
120,Impaired balance
90,Impaired hearing
113,Impairment of male potency
81,Incomplete defecation
131,Increased appetite
204,Increased salivation
40,Increased thirst
220,Increased touch sensitivity
39,Increased urine quantity
257,Involuntary movements
986,Irregular heartbeat
73,Itching eyes
973,Itching in the mouth or throat
96,Itching in the nose
21,Itching of skin
999,Itching of the anus
247,Itching on head
194,Joint effusion
27,Joint pain
47,Joylessness
256,Knee pain
146,Leg cramps
1010,Leg pain
231,Leg swelling
82,Less than 3 defecations per week
167,Limited mobility of the back
1000,Limited mobility of the hip
195,Limited mobility of the leg
35,Lip swelling
205,Lockjaw
210,Loss of eye lashes
174,Lower abdominal pain
263,Lower-back pain
235,Memory gap
112,Menstruation disorder
123,Missed period
215,Moist and softened skin
85,Mood swings
983,Morning stiffness
135,Mouth pain
97,Mouth ulcers
177,Muscle pain
119,Muscle stiffness
987,Muscle weakness
253,Muscular weakness in the leg
44,Nausea
136,Neck pain
234,Neck stiffness
114,Nervousness
133,Night cough
1004,Night sweats
38,Nosebleed
221,Numbness in the arm
254,Numbness in the leg
137,Oversensitivity to light
157,Overweight
155,Pain in the bones
142,Pain in the calves
12,Pain in the limbs
990,Pain of the anus
203,Pain on swallowing
251,Pain radiating to the arm
103,Pain radiating to the leg
286,Pain when chewing
189,Painful defecation
109,Painful urination
150,Pallor
37,Palpitations
140,Paralysis
118,Physical inactivity
129,Problems with the sense of touch in the face
258,Protrusion of the eyes
191,Rebound tenderness
54,Reduced appetite
78,Ringing in the ear
14,Runny nose
975,Sadness
1001,Scar
60,Sensitivity to cold
102,Sensitivity to noise
29,Shortness of breath
183,Side pain
26,Skin lesion
25,Skin nodules
124,Skin rash
61,Skin redness
34,Skin wheal
241,Sleepiness with spontaneous falling asleep
52,Sleeplessness
95,Sneezing
13,Sore throat
64,Sputum
179,Stomach burning
28,Stuffy nose
138,Sweating
248,Swollen glands in the armpit
249,Swollen glands in the groin
169,Swollen glands in the neck
211,Tears
222,Testicular pain
201,Tingling
16,Tiredness
1003,Toe swelling
980,Tongue burning
977,Tongue swelling
1008,Toothache
115,Tremor at rest
988,Trouble understanding speech
144,"Unconsciousness, short"
116,Underweight
161,Urination during the night
66,Visual field loss
101,Vomiting
181,Vomiting blood
23,Weight gain
22,Weight loss
30,Wheezing
105,Yellow colored skin
106,Yellowish discoloration of the white part of the eye
